Seat Type,Weight Range,Installation Type,Harness Type,Material,Special Features,Review,review_word_count,Has_Relevant_Attribute_Info,Attribute_Related_Content,Synthesized_Customer_Needs
1,2,0,0,0,,This really covers all the car seat needs we will need. The one concern is the strap get hard to pull tight some times. All and all probably the best fitting seat for a 2011 Subaru Outback as it fits perfectly facing either way.,44,Yes,"Seat Type: Rear Facing, Forward Facing
Installation Type: fits perfectly
Harness Type: strap get hard to pull tight","The seat fits perfectly in the vehicle.  
The harness straps are acceptable even if they become hard to pull tight."
2,2,0,0,1,,"Love this seat, works well in providing safety and security. You do need to play with it in order to have it secure; I had to roll up a towel to get the angle needed, but that's an issue with the auto manufacturers, not Safety First.  Not a seat I'd be taking in and out of my vehicle regularly but once you have it securely installed, it stays put.",69,Yes,"Seat Type: Rear Facing
Installation Type: securely installed","The car seat can be installed securely.
The car seat is suitable for rear-facing use."
2,1,0,0,1,,"PLEASE READ-<br />ZERO STARS!<br /><br />I bought two. My daughter is rear facing and unaffected by this major issue; However, if forward facing, your child’s head will dangerously hang forward while asleep. The position cuts off my sons breathing passageway. I have tried everything to fix this issue with no avail. Save your money and your kids neck. Absolute worst car seat ever.",63,Yes,"Seat Type: Rear Facing, Forward Facing",The car seat can be used in both rear-facing and forward-facing configurations.
1,2,1,0,3,,"My son is 3 and in the 90th percentile for height and weight and he fits wonderfully in the seat. We have it set up as a normal car seat for now, though I did take out the removable extra layer of padding. I didn't even realize that there are little cubby holes in the arm rests for whatever itty bitty toys he brings in the car for entertainment.  And he definitely likes the cup holder.  We haven't tested it on a long car trip yet, so I'm not sure how well he naps in it.  Over all, pretty happy with the Graco Nautilus (which came recommended by 3 fellow moms)",111,Yes,"Seat Type: normal car seat
Material: removable extra layer of padding",The car seat should have a removable extra layer of padding.
1,2,1,0,3,,"After much research, I decided to get this seat for my 3 year old.  He loves it as do I.  It was easy to set up and install and he is very comfortable in it.  He's already fallen asleep in it a few times and hasn't had any issues with his head falling forward.  It's a fairly big seat, but surprisingly takes up less space than his old convertible carseat.  There is more room to maneuver around him if necessary.  The cup holder is nice as are the interior compartments for storing his superhero guys.  I'm extremely happy with this purchase.",101,Yes,"Seat Type: Convertible
Weight Range of Child: 3 year old","The car seat should accommodate a child who is 3 years old.  
The car seat should be convertible."
0,2,0,0,0,,"The seat is described to be usable either with the harness system or as a booster seat (without harness). For the booster usage, you have to remove the harness. This turns out to be nearly  impossible: one has to reach a “splitter plate” inside the seat construction, which cannot be seen, but only be reached  by one hand, and one has to wiggle two  straps out of this metal plate with one hand in the blind.<br />Even if one would succeed in this nearly impossible task, obviously one will never be able to put the harness harness back in.  So the claim of dual use as harness or booster seat is false; or if the harness is removed with great difficulty, it is for good.<br />For use only with harness it seems OK (seems safe and comfortable), but I wonder who engineered the dual use feature.",146,Yes,"Seat Type: Convertible
Harness Type: harness system, booster seat (without harness)",The car seat should be convertible to accommodate different stages of a child's growth. It should include a harness system for younger children and be usable as a booster seat without a harness for older children.
2,1,0,0,2,,"LO does not like to be strapped in the car but prefers this carseat over his expensive and bulky Graco convertible carseat. I imagine it's because he has a big head and prefers to not have much padding around it like the more expensive models. For the amount we bought it for, I feel this offers a simple, streamlined, and amazingly lightweight design. It was very easy to install in our vehicle. My only concern is cleaning vomit or blow outs out of the mesh material, which thankfully I have not experienced at this time!",95,Yes,"Seat Type: Convertible
Material: mesh material",The car seat should be convertible to accommodate different stages of growth. The material should be breathable and comfortable for the child.
0,1,3,0,3,,I went to my local Police Department to have a certified installer install this car seat into my car<br />It took 2 officers who have been trained in how to install infant  car seats almost an hour<br />they said it was not fully assembled and the instructions were  not helpful<br />One of the officers even had the same seat for his child<br />but the one he got had come fully assembled,71,Yes,"Seat Type: infant car seats
Installation Type: install",The car seat is easy to install.
4,2,0,1,0,,"Easy to put together! Easy to install! Perfect for my 4 1/2 and 6 year old! Life got easier switching from car seat to this booster and I still am comforted that they are safe and secure in their seats. Kids are still learning to buckle the seat belt themselves...our van has made it a little difficult but they are able to unbuckle by themselves, which is a blessing, while I am busy getting the baby out of her car seat! Kids love the boosters too....we did order pillows that velcro around the chest belt so that on long trips they can sleep comfortably.",104,Yes,"Seat Type: booster
Weight Range of Child: 4 1/2 and 6 year old
Installation Type: Easy to install","The car seat is easy to install.
The car seat accommodates a child who is 4 1/2 to 6 years old.
The car seat functions as a booster seat."
4,2,0,1,2,,"I always have a car seat for my Grandson in my car.  Thankfully he's old enough and big enough to use this booster.  Soooo easy to put in and take out!  Attaches securely so it doesn't slide around when not in use, lightweight too.  Grandma is thankful for these things.  Perfect, he's 8 years old, weighs 85 pounds and is tall enough that his feet almost touch the floor with this seat.",72,Yes,"Seat Type: booster
Weight Range of Child: 85 pounds
Installation Type: easy to put in and take out, attaches securely so it doesn't slide around
Material: lightweight","The car seat is easy to put in and take out.  
The car seat attaches securely so it doesn't slide around.  
The car seat is lightweight."
1,2,1,0,3,,"My first concern in choosing a convertible car seat was safety.  I spent numerous hours researching safety issues & other consumer reviews.  The final decision was the Graco Nautilus 3-1 Car Seat in Matrix.  This certainly was an excellent choice.  It is a much heavier weight than anticipated, easier to buckle the belts, nicely tailored, & has the desired saftey features for a growing child.  I bought two of these for my young grandsons, as I do not like the standard booster seats.  They (booster seats) are easy for a young child to unlatch the seat belt & allow too much movement. I definitely recommend this car seat.",108,Yes,"Seat Type: Convertible
Weight Range of Child: for a growing child
Installation Type: easier to buckle the belts
Harness Type: easier to buckle the belts",The car seat accommodates a growing child. It is easier to buckle the belts.
0,0,0,0,5,,This car seat was really nice and spacious for my sons first year of life..<br />He never really grew out of it.<br />We just converted him to a Safety 1st front facing car seat.<br />I love the Safety first car seats they are always comfortable and good looking.<br />had many compliments on my car seat..,55,Yes,Seat Type: front facing,The car seat should be front facing.
2,2,0,0,1,,Very nice carseat. Getting it secured tightly rear facing (that's all I've done so far) can be a pain in the butt. You have to tighten that strap just right to be about to pull it to tighten it. Unless there is some simple trick I am missing,48,Yes,"Seat Type: Rear Facing
Installation Type: tighten that strap","The seat should be rear facing.
The strap should be easy to tighten securely."
1,2,1,1,0,"Super Easy, Car Rental inflatable packable portable luggage travel","Love this car seat as we have had at least 10 different types from a variety of companies over the years. Finally one that is safe and still very small for the back seat of my Prius, or whatever car you have for that matter. Love it the kids can buckle much easier. I think I will buy another set for my other car!!!",64,Yes,"Seat Type: Rear Facing
Installation Type: Clicktight","The car seat should be rear facing.  
The car seat should be easy to install with a clicktight system."
1,1,0,2,0,,"**Update** After 2 years of ownership and daily use, the strap to tighten the harness is frayed and hard to use. Graco says it cannot be replaced, and they won’t replace the seat. Now we’re stuck with it or face spending $$$ to replace it ourselves.**<br /><br />We own two of these and we find it hard to tighten the harness on both, still, after months of use.  We have just gotten used to struggling with it a little every time.  When we first got the seats, I had a lot of trouble unbuckling the chest buckle, but either I have learned how to do it or the buckle has relaxed a little, because I only struggled with that for about a week.  Recently we had to wash the cover on one of our seats, and we were able to put it back together with fairly little difficulty.  The size of this seat makes it hard for tall people to ride in the passenger seat in front of it in one of our cars (2009 Subaru Forester), but it's not too bad.  Hopefully our daughter can forward face before we need to extend the head rest further.  We started using this seat when our daughter was about 11 months old and had outgrown her bucket seat by height.  She had no problem with the transition to this seat.  She seems comfortable on trips up to 2 hours (we haven't gone further).  Now that it's summer I can say that it seems like the purple color fabric doesn't heat up very much.",261,Yes,"Harness Type: strap to tighten the harness is frayed and hard to use; hard to tighten the harness; had a lot of trouble unbuckling the chest buckle
Material: purple color fabric doesn't heat up very much; wash the cover",The harness strap is easy to tighten and does not fray. The chest buckle is easy to unbuckle. The fabric color does not retain excessive heat. The cover is washable.
4,0,4,1,3,"Removable Tray, Safety Harness, Folds for Easy Transport and Storage",Great for what it is-a collapsible and portable booster. Light weight but sturdy enough that I don't worry about my toddler sitting in. It is easy to attach/detach to chairs and easy to fold up.<br /><br />My only complaint is the WHITE straps. Who in the world thought that would be a good idea to strap down a toddler? They also Don't come off so they can't really be washed. At least the rest of the chair is relatively easy to clean with a simple wipe down.,87,Yes,"Harness Type: WHITE straps
Material: easy to clean with a simple wipe down","The car seat straps should be white.  
The car seat material should be easy to clean with a simple wipe down."
4,2,1,1,2,,Excellent condition / Nice colors / Good quality / Good value. But beware this item not come with clips or anything that can make this car seat stop moving around.  (I not recommend this items because not safety for young kids.),41,Yes,"Seat Type: Rear Facing
Installation Type: clips","The car seat can be installed using clips.
The car seat is rear-facing."
0,2,0,2,3,,"Had this car seat for 3 years. My son is 4 now and there is still plenty of life in it. Yes it is a bit wider than the average car seat but of you are going to get just 1, spend the money for a quality one. Haven't had one issue with it in 3 years. Easy to put in place. A little throne for my little guy.",69,Yes,"Seat Type: Convertible
Weight Range of Child: 4 years old
Installation Type: Easy to put in place","The car seat is easy to install.  
The car seat accommodates a child who is 4 years old.  
The car seat is convertible."
