Screen Size,Display Type,Special Features,Waterproof Rating,Battery Life,Target Audience,Review,review_word_count,Has_Relevant_Attribute_Info,Attribute_Related_Content,Synthesized_Customer_Needs
1,1,"Fitness Tracker, Sleep Monitor, Bluetooth call, Heart Rate Monitor",2,1,"Men,Women",[[VIDEOID:485cc0c16c4750061e94f9dc3acc4090]] These smart watches are very great. This one is very nice. It has a awesome light up. Dial battery life last forever and it just looks so awesome. The screen and everything the HD display. Everything looks great on this watch 👍👍👌👌,43,Yes,"Screen Size: 
Display Type: HD display
Battery Life: last forever","The customer needs a watch with a screen that is clear and sharp.
The customer needs a watch with a battery that lasts a very long time."
1,0,"Time Display, Sleep Monitor, Phone Call, Heart Rate Monitor",2,1,Unisex Adult,"It has a huge variety of faces available, and more all the time, and has many functions that all seem to work well.  Based on the reviews I knew that there would be issues with it holding a charge all day, and they are all quite correct; there are a few that offered tips to extend the battery life, which came in very handy and worked well, but since I prefer a few of the functions that had to be limited I have the trade-off of having to charge it on my lunch break at work, but I don't mind doing so to gain the functionality I'm looking for.  :-)",110,Yes,Battery Life: issues with it holding a charge all day; tips to extend the battery life; having to charge it on my lunch break,The customer needs the battery to hold a charge all day. The customer needs to be able to extend the battery life. The customer needs to be able to charge the watch on a lunch break.
2,2,Touchscreen,2,0,,"I like to keep my reviews short and sweet...<br /><br />In full disclosure, I did not purchase my Garmin Vivosmart HR+ from Amazon, but from Target.<br /><br />Likes:<br />- Very reasonable 5 day battery life<br />- Fast, accurate GPS<br />- Strong, reliable heart rate tracking<br />- Compact, non-intrusive size<br />- Low-end price for GPS enabled fitness watches<br />- Water resistant to 5 ATM (Withstands pressures equivalent to a depth of 50 meters)<br />- Garmin App is good and always getting better<br /><br />Dislikes:<br />- ‘Grabby’ band holds onto sleeves<br />- Looks are lackluster<br />- Proprietary charger<br /><br />Meh (i.e. no biggie):<br />- Companion smartphone app is okay, but it's constantly getting better.<br /><br />My recommendation:<br />Would I recommend any semi-serious runner?  Yes.  It does everything I need it to do as a runner (both indoors and outdoors).  The GPS is extremely accurate and the interface isn't overly complicated.  The price was right (anything in the $200+ region is just too high in my opinion).<br /><br />Update:<br />After about 6 months of ownership the screen developed three small cracks.  I contacted Garmin and they promptly responded by sending a replacement unit.  I've had the replacement for about 6 more months without any issues.  I left my review at 4 stars for the prompt support provided by Garmin.",216,Yes,"Screen Size: Compact, non-intrusive size
Battery Life: Very reasonable 5 day battery life","The customer needs a smart watch with a compact, non-intrusive size.
The customer needs a smart watch with a very reasonable 5-day battery life."
0,2,GPS,2,1,Unisex Adult,"I purchased several fitness trackers to try. The Garmin VivoSport is the clear winner.<br /><br />I bought a Fitbit, MorePro, and Garmin and wore each for several days, which included several days of normal wearing, daily 5k runs, and nights of sleep. This allowed me to experience each device’s performance and attributes. The Garmin VivoSport was the clear winner.<br /><br />Some of the biggest takeaways:<br /><br />- Continuously viewable screen<br />- Readable screen in daylight<br />- Comfortable and compact<br />- Programmable display of pace, splits, distance<br />- Accurate GPS tracking and mapping<br />- Programmable milestone alerts of distance, time, or pace<br />- State of the art optical heart sensor<br />- VO2Max calculation<br /><br />Some things needing improvement:<br /><br />- Nonintuitive menu system (example: finding the VO2Max screen)<br />- Nonintuitive app (example: finding screen to set programmable running alerts)<br />- Nonintuitive gestures (example: swiping screen to end a running event)<br /><br />This is not a pick-up-and-use device. Unless you know the secret code, you’ll booger your running session. It’s like the super Nintendo cheat code: up-down-left-right-down-double tap. You just need to learn a few gestures, but don’t expect to use it straight away without reading some instructions.<br /><br />The hardware seems to be capable of the following, but Garmin seems to be withholding a few features:<br /><br />- Although the stress sensor is presumably based on HRV (Heart Rate Variability), the RR time and HRV raw data is not accessible<br />- Although the VivoSport is ANT+ compatible it does not transmit heart rate data (but the very similar VivoSmart does)<br /><br />In summary, this is the best band I’ve tried. HRV is still in the early stages, so I’m looking forward to future firmware and software releases to enable more HRV content.",291,Yes,"Screen Size: Continuously viewable screen, Readable screen in daylight
Display Type: Readable screen in daylight",The customer needs a continuously viewable screen. The customer needs a screen that is readable in daylight.
0,2,GPS,2,1,Unisex Adult,"I've had this thing for less than 1 day now and I'm already in love with it. My major gripe with any fitness tracker was that you had to do this overexaggerated wrist flip in order to get it to register that you're trying to look at the time. BUT NOT WITH THIS! FINALLY a fitness tracker with an always on display! Now my hands can be doing something else, but I can still glance and see what time it is, just like a normal watch.<br /><br />I also really like that you can turn on and off the wrist flip backlight-on feature. this is great because if you're in bed and happen to flip your write, that bright back light can be annoying. i prefer it to stay off stay off and if I need it, just touch the screen (like a normal watch having a back light).<br /><br />i like that the display can be rotated vertically or horizontally and is colorful. great fitness features and easy to use.<br /><br />only gripe is that there is no second hand on the watch face. that's the only thing i would wish for.",193,Yes,"Display Type: always on display, backlight-on feature, colorful display","The customer needs a watch that shows the time continuously without requiring interaction.  
The customer needs the display to be easily readable in low-light conditions.  
The customer needs the display to be visually appealing with vibrant colors."
2,1,"Sedentary Reminder, Music Control, Brightness, Screen On, Breathe Guide, Time Display., Smart Notification: Email/Messages/Call/SNS Reminder,, 1.55"" (44mm) HD TFT-LCD Color Touch Screen, Custom Watch Dials, 5ATM Waterproof,, Health Traking: Blood Oxygen Monitor, Heart Rate Monitor, Sleep Monitor, Multisport Tracker, Smart Watch Fitness Tracker, Pedometer, Stopwatch, Timer, Alarm ClockSedentary Reminder, Music Control, Brightness, Screen On, Breathe Guide, Time Display., Smart Notification: Email/Messages/Call/SNS Reminder,, 1.55"" (44mm) HD TF…  See more",2,0,"Women, Men, Boys, Unisex Adult","It arrive one day after I ordered it.<br />I just set up my watch and have not used all the features. What I have used, is great. Battery life is great on day 6 and stilled charged.<br />When my grandson saw it and looked at the features, he asked his mother to order him one.",55,Yes,Battery Life: Battery life is great on day 6 and stilled charged.,The customer needs the battery to last for at least six days on a single charge.
2,1,Heart Rate Monitor,2,1,"Men,Women","This fitness tracker came with no actual instructions and even online videos don't give suitable info on programming it. Another odd thing about this device, it gives the day of the week, but not the date. Three words: cheap China product. Today I received a message from what may or may not be this company that sold me the watch, asking for my e-mail address so they could resolve the issue...the Amazon policy clearly states that sellers are not allowed to ask for that kind of personal info...so the only way I intend to respond to them is through this review, which they receive. So, this is my reply to the company: if you truly are the company, you can respond here on this review, how you intend to resolve the issues I have: watch irritates my skin, has no blood pressure monitoring which was part of the advertisement and a big reason I bought it, has.no actual instructions on how to access the functions, has no ""actual date', ie January 30th, only indicates the day of the week, the band also is difficult to fasten, and it constantly gets disconnected and takes hours to reconnect as the problem says it needs the app to connect to the phone and I already downloaded and installed the Very Fit app...that is why I gave the bad review...so if you can assist with these issues, kindly do so on this venue.",239,Yes,Battery Life: constantly gets disconnected and takes hours to reconnect,"The smart watch needs to maintain a stable connection without frequent disconnections.  
The smart watch needs to reconnect quickly when a disconnection occurs."
0,1,"Fitness_tracker, Social_media_notifications, Sleep_monitor, Email, Text messaging, Digital_time_display, Pedometer, Music_player, Multisport_trackingFitness_tracker, Social_media_notifications, Sleep_monitor, Email, Text messaging, Digital_time_display, Pedometer, Music_player, Multisport_tracking  See more",2,1,Unisex Adult,"I've had the Fitbit Flex, Fitbit Force, original Vivofit, Vivosmart, Fitbit Charge HR and now have the Vivofit 2 AND the Fitbit Zip.<br /><br />After having gone back and forth between Fitbit and Garmin, I am going with the Vivofit 2 (for now). Here are some reasons I switched from the most recent devices, which might help you decide between these.<br /><br />*** Garmin Vivosmart ***  I liked the Vivosmart but realized that I didn't really like the alerts from my phone because I already have a smartwatch (Asus Zen). If you are often in a noisy environment or can't easily access your phone but want to see alerts (and don't have some other device that gives you alerts), then the alerts on a Vivosmart could be helpful. However, it was somewhat difficut to see full messages on the screen and really best serves to let you know that a message or call has happened - it's not great for a substantive alert. Additionally, the screen is just slightly hazy. It bothered me initially although I did get over it  - but it definitely has a somewhat 'frosted plastic' appearance to it. This is something other reviewers of the Vivosmart have noted. The Vivosmart is more narrow and less thick then the Vivofit 2. I suspect this is partly because of the battery size in the Vivofit 2. I found the swiping or selection responsiveness to sometimes be a little inconsistent but nothing big on that front. There is a &#34;Find Your Phone&#34; feature on the Vivosmart that I did find useful. The Vivofit 2 does have auto-sleep tracking. The Vivosmart did not. (A software update may have changed this.) This meant that I either put the Vivosmart in sleep mode via my phone before I fell asleep or I put the time in on the app after I woke. The Vivofit 2 doesn't require this manual effort - it does it automatically. Both devices are safe to shower and swim in.<br /><br />[Battery Life in Vivosmart and Vivofit 2]  I had the original Vivofit and did a lot of international travel at the time. I really liked that I didn't have to think twice about bringing a charger for it with me and I very quickly grew accustomed to not having to think about charging it.  I charge a lot of devices regularly and all of them use micro-USB - not the Vivosmart. That was more annoying than I thought. To be fair, none of the most popular tracking devices use a micro-USB so the options are either a specific charger or a long lasting battery.<br /><br />So for me, Vivofit2 &#62; Vivosmart because:<br />1) I don't need alerts (on both wrists)<br />2) I don't have to charge it or even really think about charging it<br />3) Readability of the screen<br />4) Vivofit 2 has auto-sleep tracking (this may have been added via a software update to the Vivosmart - I do not know.)<br /><br />If Alerts are very important to you and you don't mind charging the device regularly, the Vivosmart might be great.<br /><br />*** Fitbit Charge HR ***  I had this for about six weeks.  The first thing I disliked rather quickly was that it instantly looked dirty or dusty. I don't know if a textured surface was the way to go. (I had a black one - maybe another color wouldn't have appeared so dirty so quickly.) Having said that, I think some people will like the design more than the Vivofit2. (Though, the Vivofit2 will now have some different bracelets to place it in - an option not available to the Fitbit Charge HR.) I was not a fan of the watch styled clasp on the Fitbit Charge HR. This is really rather minor but it made me feel like I was wearing two watches - one on each wrist. I felt over-accessorized. Fitbit Charge HR measures flights of stairs climbed - the Vivofit 2 does not. Like the Vivofit 2, the Fitbit Charge HR does auto-sleep tracking.  I'll boil it down to the deal breaker for me - it's only &#34;splash proof&#34;. It's recommended that you not shower with it and you can't swim with it. (I did see a video on youtube where DC Rainmaker said a month of showers hadn't broken the thing but it's not rated for that kind of water exposure.) That may not be a big deal for many people but more than once, I got into the shower, got it wet and then took it off and dried it immediately. I would also take it off to do dishes or bathe the dog and then forget about it.  The battery life was shorter than I expected, as well. I was charging it twice a week. Alerts for calls usually didn't hit the Fitbit Charge HR until I'd already answered a call so, again, not particularly useful for me but YMMV. I realized I don't really track my HR very much. I sometimes do while I exercise but realized I don't really care about my HR at every moment. If there was a way to turn it off to save battery life and only have it kick in during a tracked activity, that would be really helpful and I might find more use for it. The Fitbit Charge has an optical HRM. These are not as accurate as a chest-strap based HRM (which the Garmin devices connect to/with) but are more convenient. Last, I found that the little nagging red bar on the Garmin devices (Vivofit, Vivofit 2, Vivosmart) really does make me get up and move. There wasn't any kind of &#34;Hey, get up&#34; alert on the Fitbit Charge HR.<br /><br />Fitbit gives you a 10,000 step daily goal which you can manually change. Garmin devices start you at 7,500 and adjust automatically based upon your activity to encourage you to increase your steps each day. I found that I disliked the straight 10k step goal in Fitbit and liked the more substantive step-goal setting that Garmin offered. Here's where I think that makes a big difference. If you are like a lot of people who aren't very active and you start off at 5,000 steps and you do 5,000 steps - that a successful day for you. The next day, Garmin will ask you to do 5,200 (for example). And if you do it, you've had another successful day of reaching your goal. Then the next day, you do 5,450, etc. And each day, you would be encouraged to push a bit more. I find that effective for a lot of people. However, all of those days are 'fails' in Fitbit. I think that could be really discouraging to someone trying to improve their activity levels. Again, you can adjust the step goal in Fitbit but I really love that Garmin does it for me and I find it personalizes the effort for me. Again, YMMV.<br /><br />Vivofit2 &#62; Fitbit Charge HR  because<br />1) the Vivofit 2 is waterproof to 5 ATM<br />2) battery life is amazing<br />3) the inactivity alert does work for me and<br />4) it connects to a HRM when I want it to (which is not FULL time)<br />5) some style alternatives<br />6) adjusting daily step goals<br /><br />*** Fitbit Platform/Dashboard v Garmin Platform/Dashboard *** Here's what will be a big factor for many people that is not going to be obvious from a hardware review. 1) The dashboards for Fitbit and Garmin are different. Most people prefer Fitbit - it integrates with more applications than Garmin and it is a pretty flawless experience. Having said that - I got used to the Garmin dashboard quickly and find it easy to navigate, too. 2) If you want motivation from friends, most people have Fitbit over Garmin. This was ultimately why I tried going back to Fitbit. I wanted the motivation I got from competing with friends. I found, though, that I just didn't like their wrist-based wearables. So I ended up getting the Fitbit Zip because I could just clip it on to the center of my bra and forget about it. It does little more than track steps for me and that's the basis of all of my competitions with friends in Fitbit so... that's how I keep the wrist-based wearable I like but can pretty easily still compete with friends on Fitbit (if you find yourself also debating these things). If you happen to use both, like me, when you do &#34;activities&#34; in Garmin, those *can* sync over to Fitbit so your jogs, workouts, swims - all of that - can be synced with Fitbit and show up there. (Fitdatasync.com)<br /><br />I realize this isn't an in-depth review of all of the features of the Vivofit2. It's really intended to point out some differences between the Vivosmart and the Fitbit Charge HR.<br /><br />In the end, these are the things that made me choose Vivofit2:<br /><br />1) Battery Life<br />2) Water proof<br />3) The red bar (and audible noise) really does get me up to do a quick one or two hundred steps until it disappears<br />4) Adjusting daily step-goals<br /><br />Edited to add: I would give it 4.5 stars in reality because it is slightly larger than other trackables in its class.<br /><br />*** Potential Sync Issue in Garmin Connect *** I have a Note 4 and when I first tried to pair the Vivofit 2 through Garmin Connect (the mobile app), it would initially pair, show as connected - and then immediately disconnect. This is NORMAL. The Vivofit 2 should not always show up as &#34;connected&#34; when you look at your devices in Garmin Connect. When it auto-syncs or when you manually sync, it will connect. Having said that, I was having trouble with it syncing. I'd try to manually sync and it wouldn't sync. I called Garmin and was told that I may have too many devices paired via bluetooth, even if only one device was actively connected. I was skeptical but I deleted about 5 of the paired devices I used the least (I started with about 10-12 and got down to 5-7 that I use the most) and sure enough, that fixed it. It now syncs flawlessly.",1712,Yes,"Screen Size: slightly larger than other trackables in its class
Display Type: screen is just slightly hazy, 'frosted plastic' appearance, readability of the screen
Battery Life: battery size in the Vivofit 2, battery life was shorter than I expected, charging it twice a week, battery life is amazing","The screen size is slightly larger than other trackables in its class.
The screen has a slightly hazy, 'frosted plastic' appearance.
The readability of the screen is acceptable.
The battery life is shorter than expected.
Charging the device twice a week is acceptable.
The battery life is amazing."
0,1,"1)Fashionable Full Touch Screen Design with classic round screen and 1.3-inch HD glass screen (color on-screen display) 2)Adjustable grade silicone strap is healthy, environmentally friendly, and very comfortable to wear, perfect for men / women / kids. 3)Excellent hiking watches / outdoor watch / altimeter watch 4）All-day activity tracker. (Distance / steps / calories) 5）fitness tracker (breathing training / blood pressure / heart rate / sleep monitoring)1)Fashionable Full Touch Screen Design with classic round screen and 1.3-inch HD glass screen (color on-screen display) 2)Adjustable grade silicone strap is healthy, environmenta…  See more",2,0,"Men,Women","This is my 1st smartwatch.  I am sending it back.  Please see below for pros and cons.  I hope this helps you make a decision. There are a few things that I now know I need my smartwatch to do and this one doesn't do them.<br /><br />Pros<br />*Cost<br />*How it looks.  I like BIG faces.  I have a small, female wrist so this looks good on my arm.<br />*Comes with instruction book.<br /><br />Cons<br />*HR not accurate<br />*Sleep monitor did not work the 1st night.  Results showed up in the middle of the next day and were not accurate.  It said I got 8.2 hours of sleep.  LOL!!!  I wish.  I am a mom of 3 and haven't gotten over 4 hours of sleep on any give night in the past 11 years,  Nice Try.<br />*Cannot reply to texts<br />*I don't use 1/2 the Apps in the message notifications<br />*When notifications pop up the message only shows for 2 seconds causing me to have to hit the button.",169,Yes,Screen Size: I like BIG faces.,I need a smart watch with a large display.
2,0,"Light and durable, Heart rate monitor, Wearable tech, Gear fit, Fitness tracker, Gear fitness, Jawbone, Pedometer, Fit Bit, Fitness braceletLight and durable, Heart rate monitor, Wearable tech, Gear fit, Fitness tracker, Gear fitness, Jawbone, Pedometer, Fit Bit, Fitness bracelet  See more",2,1,Unisex Adult,"Package arrived very mangled, held together with rubber bands, but it was fully functional. (this was a result of USPS problem, not Amazon) I use this device with my Samsung Galaxy S5 and it works very well. It fits me nicely, although I have ordered some band accessories to keep it safe when I wear it outside my home. The screen is bright and large, and it charges very quickly. I think this smart watch is very comparable to other devices that are much more expensive.",86,Yes,"Screen Size: large
Battery Life: charges very quickly","The customer needs a large screen.
The customer needs the battery to charge very quickly."
